,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
292,1176,2023020182,2,2023-11-07,OFF,30,MIN,4.0,2,NYI,2.0,30,2,False,False
293,1264,2023020183,2,2023-11-07,OFF,17,DET,3.0,3,NYR,5.0,3,17,False,False
294,909,2023020184,2,2023-11-07,OFF,52,WPG,5.0,19,STL,2.0,52,19,False,False
295,1353,2023020185,2,2023-11-07,OFF,55,SEA,3.0,53,ARI,4.0,53,55,False,False
296,465,2023020186,2,2023-11-07,OFF,18,NSH,2.0,20,CGY,4.0,20,18,False,False
297,1440,2023020187,2,2023-11-07,OFF,5,PIT,2.0,24,ANA,0.0,5,24,False,False
298,107,2023020188,2,2023-11-07,OFF,1,NJD,3.0,21,COL,6.0,21,1,False,False
299,2688,2023020189,2,2023-11-07,OFF,4,PHI,1.0,28,SJS,2.0,28,4,False,False
300,198,2023020190,2,2023-11-08,OFF,9,OTT,6.0,10,TOR,3.0,9,10,False,False
301,644,2023020191,2,2023-11-08,OFF,13,FLA,4.0,15,WSH,3.0,13,15,False,False
302,20,2023020192,2,2023-11-08,OFF,26,LAK,4.0,54,VGK,1.0,26,54,False,False
303,998,2023020193,2,2023-11-09,OFF,2,NYI,2.0,6,BOS,5.0,6,2,False,False
304,554,2023020194,2,2023-11-09,OFF,25,DAL,5.0,29,CBJ,2.0,25,29,False,False
305,2244,2023020195,2,2023-11-09,OFF,8,MTL,3.0,17,DET,2.0,8,17,False,False
306,1177,2023020196,2,2023-11-09,OFF,30,MIN,1.0,3,NYR,4.0,3,30,False,False
307,1711,2023020197,2,2023-11-09,OFF,23,VAN,5.0,9,OTT,2.0,23,9,False,False
308,823,2023020198,2,2023-11-09,OFF,16,CHI,5.0,14,TBL,3.0,16,14,False,False
309,1531,2023020199,2,2023-11-09,OFF,53,ARI,1.0,19,STL,2.0,19,53,False,False
310,910,2023020200,2,2023-11-09,OFF,18,NSH,3.0,52,WPG,6.0,52,18,False,False
311,375,2023020201,2,2023-11-09,OFF,55,SEA,4.0,21,COL,3.0,55,21,False,False
312,1089,2023020202,2,2023-11-09,OFF,5,PIT,4.0,26,LAK,3.0,5,26,False,False
313,287,2023020203,2,2023-11-09,OFF,22,EDM,2.0,28,SJS,3.0,28,22,False,False
314,1178,2023020204,2,2023-11-10,OFF,30,MIN,2.0,7,BUF,3.0,7,30,False,False
315,645,2023020205,2,2023-11-10,OFF,12,CAR,2.0,13,FLA,5.0,13,12,False,False
316,108,2023020206,2,2023-11-10,OFF,15,WSH,4.0,1,NJD,2.0,15,1,False,False
317,199,2023020207,2,2023-11-10,OFF,20,CGY,4.0,10,TOR,5.0,10,20,False,False
318,2333,2023020208,2,2023-11-10,OFF,4,PHI,6.0,24,ANA,3.0,4,24,False,False
319,21,2023020209,2,2023-11-10,OFF,28,SJS,0.0,54,VGK,5.0,54,28,False,False
320,1623,2023020210,2,2023-11-11,OFF,29,CBJ,4.0,17,DET,5.0,17,29,False,False
321,555,2023020211,2,2023-11-11,OFF,25,DAL,3.0,52,WPG,2.0,25,52,False,False
322,999,2023020212,2,2023-11-11,OFF,6,BOS,2.0,8,MTL,3.0,8,6,False,False
323,467,2023020213,2,2023-11-11,OFF,20,CGY,1.0,9,OTT,4.0,9,20,False,False
324,735,2023020214,2,2023-11-11,OFF,12,CAR,4.0,14,TBL,0.0,12,14,False,False
325,200,2023020215,2,2023-11-11,OFF,23,VAN,2.0,10,TOR,5.0,10,23,False,False
326,1800,2023020216,2,2023-11-11,OFF,15,WSH,4.0,2,NYI,1.0,15,2,False,False
327,1442,2023020217,2,2023-11-11,OFF,7,BUF,0.0,5,PIT,4.0,5,7,False,False
328,1889,2023020218,2,2023-11-11,OFF,53,ARI,7.0,18,NSH,5.0,53,18,False,False
329,376,2023020219,2,2023-11-11,OFF,19,STL,8.0,21,COL,2.0,19,21,False,False
330,288,2023020220,2,2023-11-11,OFF,22,EDM,4.0,55,SEA,1.0,22,55,False,False
331,1090,2023020221,2,2023-11-11,OFF,4,PHI,4.0,26,LAK,2.0,4,26,False,False
332,646,2023020222,2,2023-11-12,OFF,16,CHI,3.0,13,FLA,4.0,13,16,False,False
333,556,2023020223,2,2023-11-12,OFF,25,DAL,8.0,30,MIN,3.0,25,30,False,False
334,2155,2023020224,2,2023-11-12,OFF,23,VAN,5.0,8,MTL,2.0,23,8,False,False
335,1266,2023020225,2,2023-11-12,OFF,29,CBJ,3.0,3,NYR,4.0,3,29,False,False
336,2334,2023020226,2,2023-11-12,OFF,28,SJS,1.0,24,ANA,4.0,24,28,False,False
337,289,2023020227,2,2023-11-13,OFF,2,NYI,1.0,22,EDM,4.0,22,2,False,False
338,377,2023020228,2,2023-11-13,OFF,21,COL,5.0,55,SEA,1.0,21,55,False,False
339,1000,2023020229,2,2023-11-14,OFF,6,BOS,5.0,7,BUF,2.0,6,7,False,False
340,1443,2023020230,2,2023-11-14,OFF,5,PIT,5.0,29,CBJ,3.0,5,29,False,False
341,468,2023020231,2,2023-11-14,OFF,20,CGY,2.0,8,MTL,1.0,20,8,False,False
342,22,2023020232,2,2023-11-14,OFF,54,VGK,0.0,15,WSH,3.0,15,54,False,False
343,557,2023020233,2,2023-11-14,OFF,53,ARI,3.0,25,DAL,4.0,25,53,False,False
344,1890,2023020234,2,2023-11-14,OFF,24,ANA,3.0,18,NSH,2.0,24,18,False,False
345,825,2023020235,2,2023-11-14,OFF,14,TBL,0.0,19,STL,5.0,19,14,False,False
346,109,2023020236,2,2023-11-14,OFF,1,NJD,3.0,52,WPG,6.0,52,1,False,False
347,647,2023020237,2,2023-11-14,OFF,13,FLA,5.0,28,SJS,3.0,13,28,False,False
348,736,2023020238,2,2023-11-15,OFF,4,PHI,3.0,12,CAR,1.0,4,12,False,False
349,290,2023020239,2,2023-11-15,OFF,55,SEA,3.0,22,EDM,4.0,22,55,False,False
350,378,2023020240,2,2023-11-15,OFF,24,ANA,2.0,21,COL,8.0,21,24,False,False
351,1802,2023020241,2,2023-11-15,OFF,2,NYI,3.0,23,VAN,4.0,23,2,False,False
352,1713,2023020242,2,2023-11-16,OFF,17,DET,4.0,9,OTT,5.0,9,17,False,False
353,1626,2023020243,2,2023-11-16,OFF,53,ARI,3.0,29,CBJ,2.0,53,29,False,False
354,23,2023020244,2,2023-11-16,OFF,54,VGK,6.0,8,MTL,5.0,54,8,False,False
355,110,2023020245,2,2023-11-16,OFF,1,NJD,5.0,5,PIT,2.0,1,5,False,False
356,826,2023020246,2,2023-11-16,OFF,14,TBL,4.0,16,CHI,2.0,14,16,False,False
357,469,2023020247,2,2023-11-16,OFF,23,VAN,2.0,20,CGY,5.0,20,23,False,False
358,1358,2023020248,2,2023-11-16,OFF,2,NYI,3.0,55,SEA,4.0,55,2,False,False
359,648,2023020249,2,2023-11-16,OFF,13,FLA,1.0,26,LAK,2.0,26,13,False,False
360,1534,2023020250,2,2023-11-16,OFF,19,STL,1.0,28,SJS,5.0,28,19,False,False
361,201,2023020251,2,2023-11-17,OFF,10,TOR,3.0,17,DET,2.0,10,17,False,False
362,913,2023020252,2,2023-11-17,OFF,7,BUF,2.0,52,WPG,3.0,52,7,False,False
363,649,2023020253,2,2023-11-17,OFF,13,FLA,2.0,24,ANA,1.0,13,24,False,False
364,1180,2023020254,2,2023-11-18,OFF,30,MIN,1.0,9,OTT,2.0,9,30,False,False
365,24,2023020255,2,2023-11-18,OFF,54,VGK,3.0,4,PHI,4.0,4,54,False,False
366,1891,2023020256,2,2023-11-18,OFF,16,CHI,2.0,18,NSH,4.0,18,16,False,False
367,291,2023020257,2,2023-11-18,OFF,22,EDM,4.0,14,TBL,6.0,14,22,False,False
368,1001,2023020258,2,2023-11-18,OFF,8,MTL,2.0,6,BOS,5.0,6,8,False,False
369,737,2023020259,2,2023-11-18,OFF,5,PIT,2.0,12,CAR,4.0,12,5,False,False
370,470,2023020260,2,2023-11-18,OFF,2,NYI,5.0,20,CGY,4.0,2,20,False,False
371,111,2023020261,2,2023-11-18,OFF,3,NYR,5.0,1,NJD,3.0,3,1,False,False
372,914,2023020262,2,2023-11-18,OFF,53,ARI,2.0,52,WPG,5.0,52,53,False,False
373,1627,2023020263,2,2023-11-18,OFF,29,CBJ,3.0,15,WSH,4.0,15,29,False,False
374,379,2023020264,2,2023-11-18,OFF,21,COL,6.0,25,DAL,3.0,21,25,False,False
375,1359,2023020265,2,2023-11-18,OFF,55,SEA,4.0,23,VAN,3.0,55,23,False,False
376,1092,2023020266,2,2023-11-18,OFF,19,STL,1.0,26,LAK,5.0,26,19,False,False
377,202,2023020267,2,2023-11-19,OFF,10,TOR,4.0,30,MIN,3.0,10,30,False,False
378,1628,2023020268,2,2023-11-19,OFF,29,CBJ,2.0,4,PHI,5.0,4,29,False,False
379,25,2023020269,2,2023-11-19,OFF,54,VGK,0.0,5,PIT,3.0,5,54,False,False
