,id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.id,awayTeam.placeName.default,awayTeam.abbrev,awayTeam.logo,awayTeam.score,homeTeam.id,homeTeam.placeName.default,homeTeam.abbrev,homeTeam.logo,homeTeam.score,winnerId,loserId,cupGame,nextGame
1130,2024021131,20242025,2,2025-03-25,2025-03-25 23:00:00+00:00,FUT,5,Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,14,Tampa Bay,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,0,0,False,False
1131,2024021132,20242025,2,2025-03-25,2025-03-25 23:00:00+00:00,FUT,18,Nashville,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,12,Carolina,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,0,0,False,False
1132,2024021133,20242025,2,2025-03-25,2025-03-26 00:00:00+00:00,FUT,8,Montréal,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,19,St. Louis,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,0,0,0,False,False
1133,2024021134,20242025,2,2025-03-25,2025-03-26 00:00:00+00:00,FUT,54,Vegas,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,30,Minnesota,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,0,0,False,False
1134,2024021135,20242025,2,2025-03-25,2025-03-26 00:00:00+00:00,FUT,15,Washington,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,0,52,Winnipeg,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,0,0,False,False
1135,2024021136,20242025,2,2025-03-25,2025-03-26 01:00:00+00:00,FUT,17,Detroit,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,21,Colorado,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,0,0,False,False
1136,2024021137,20242025,2,2025-03-25,2025-03-26 01:00:00+00:00,FUT,55,Seattle,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,0,20,Calgary,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,0,0,True,True
1137,2024021138,20242025,2,2025-03-25,2025-03-26 02:30:00+00:00,FUT,3,New York,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,26,Los Angeles,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,0,0,0,False,False
1138,2024021139,20242025,2,2025-03-26,2025-03-26 23:30:00+00:00,FUT,23,Vancouver,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,0,2,New York,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,0,0,0,False,False
1139,2024021140,20242025,2,2025-03-26,2025-03-26 23:30:00+00:00,FUT,1,New Jersey,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,16,Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,0,0,0,False,False
1140,2024021141,20242025,2,2025-03-26,2025-03-27 02:00:00+00:00,FUT,25,Dallas,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,22,Edmonton,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,0,0,0,False,False
1141,2024021142,20242025,2,2025-03-26,2025-03-27 02:00:00+00:00,FUT,6,Boston,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,0,24,Anaheim,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,0,0,0,False,False
1142,2024021143,20242025,2,2025-03-27,2025-03-27 23:00:00+00:00,FUT,5,Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,0,0,False,False
1143,2024021144,20242025,2,2025-03-27,2025-03-27 23:00:00+00:00,FUT,9,Ottawa,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,17,Detroit,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,0,0,False,False
